"HDR","FEC","8.0","FECfile","8.0.1.7(f29)","",""
"F4N","C00485110","COMMITTEE ON ARRANGEMENTS FOR THE 2012 REPUBLICAN NATIONAL CONVENTION","310 FIRST STREET SE","","WASHINGTON","DC","20003","A","","Q1","20120101","20120331","Parker","Anthony","","","","20120415","15284166.38","5213.02","15289379.40","1189359.08","14100020.32","0.00","0.00","1189359.08","5213.02","1184146.06","2405633.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4914.41","298.61","5213.02","0.00","0.00","0.00","0.00","0.00","0.00","5213.02","1187735.06","1624.02","1189359.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1189359.08","15284166.38","2012","5213.02","15289379.40","1189359.08","14100020.32","1189359.08","5213.02","1184146.06","2405633.62","3589779.68","0.00","0.00","0.00","0.00","5213.02","0.00","0.00","5213.02","1189359.08","0.00","0.00","0.00","1189359.08"
"SA14A","C00485110","SA14A.5626","","","ORG","Brighthouse","","","","","","301 E. Pine St Ste 600","","Orlando","FL","32801","","","20120101","0.00","","Telecommunications Provider","","","","","","","","","","","","","","","","","","","","X","",""
"TEXT","C00485110","SA14A.5626.TEXT","SA14A.5626","SA14A","Goods and services from Official Providers pursuant to 11 CFR 9008.9(b)1/1/2012-3/31/2012"
"SA14A","C00485110","SA14A.5632","","","ORG","Google","","","","","","1600 Amphitheatre Pkwy","","Mountain View","CA","94043","","","20120101","0.00","","Social Platform & Livestream Provider","","","","","","","","","","","","","","","","","","","","X","",""
"TEXT","C00485110","SA14A.5632.TEXT","SA14A.5632","SA14A","Goods and services from Official Providers pursuant to 11 CFR 9008.9(b) 1/1/2012-3/31/2012"
"SA14A","C00485110","SA14A.5624","","","ORG","LG Electronics USA, Inc.","","","","","","1000 Sylvan Avenue","","Englewood Cliffs","NJ","07632","","","20120101","0.00","","Digital Display and Electronics","","","","","","","","","","","","","","","","","","","","X","",""
"TEXT","C00485110","SA14A.5624.TEXT","SA14A.5624","SA14A","Goods and services from Official Providers pursuant to 11 CFR 9008.9(b)1/1/2012-3/31/2012"
"SA14A","C00485110","SA14A.5628","","","ORG","Microsoft Corporation","","","","","","1401 Eye St NW Ste 500","","Washington","DC","20005","","","20120101","0.00","","Technology Support & Software","","","","","","","","","","","","","","","","","","","","X","",""
"TEXT","C00485110","SA14A.5628.TEXT","SA14A.5628","SA14A","Goods and services from Official Providers pursuant to 11 CFR 9008.9(b)1/1/2012-3/31/2012"
"SA14A","C00485110","SA14A.5625","","","ORG","PR Newswire","","","","","","350 Hudson Street, #300","","New York","NY","10014","","","20120101","0.00","","Media Wire Service","","","","","","","","","","","","","","","","","","","","X","",""
"TEXT","C00485110","SA14A.5625.TEXT","SA14A.5625","SA14A","Goods and services from Official Providers pursuant to 11 CFR 9008.9(b)1/1/2012-3/31/2012"
"SA14A","C00485110","SA14A.5630","","","ORG","Volkswagen Group of America, Inc.","","","","","","2200 Ferdinand Porsche Dr","","Herndon","VA","20171","","","20120101","0.00","","Fleet Vehicles","","","","","","","","","","","","","","","","","","","","X","",""
"TEXT","C00485110","SA14A.5630.TEXT","SA14A.5630","SA14A","Goods and services from Official Providers pursuant to 11 CFR 9008.9(b)1/1/2012-3/31/2012"
"SA17A","C00485110","SA17A.5475","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120117","222.57","421.18","Credit of Payroll Taxes","","","","","","","","","","","","","","","","","","","","","",""
"SA17A","C00485110","SA17A.5473","","","IND","","Davis","James","","","","PO Box 1809","","Tampa","FL","33601","","","20120110","4265.92","4265.92","Refund-Payroll Company Error","","","","","","","","","","","","","","","","","","","","","",""
"SA17A","C00485110","SA17A.5477","","","ORG","U.S. Treasury","","","","","","3700 East-West Highway Ste 6D25","","Hyattsville","MD","20782","","","20120305","425.92","425.92","Refund of Payroll Taxes","","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5041","","","ORG","Alderson Reporting Company, Inc","","","","","","1155 Connecticut Ave, NW","","Washington","DC","20036","","","20120106","774.50","","Court Reporting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5125","","","ORG","Alongi Media Solutions","","","","","","214 Shephard Way","","Manalapan","NJ","07726","","","20120111","1211.30","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5126","","","ORG","Alongi Media Solutions","","","","","","214 Shephard Way","","Manalapan","NJ","07726","","","20120124","1757.15","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5128","","","ORG","Alongi Media Solutions","","","","","","214 Shephard Way","","Manalapan","NJ","07726","","","20120124","25000.00","","Production Consulting Services","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5129","","","ORG","Alongi Media Solutions","","","","","","214 Shephard Way","","Manalapan","NJ","07726","","","20120302","2117.84","","Reimbursement-Travel Expenses","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5317","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120106","132.50","","Payroll Service Fees","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5322","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120110","198.61","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5323","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120112","29836.68","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5318","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120124","11.13","","Payroll Service Fees","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5324","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120126","452.92","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5319","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120127","25.44","","Payroll Service Fees","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5325","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120130","393.32","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5326","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","\","20120130","29934.17","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5327","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120214","32528.81","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5320","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120224","31.80","","Payroll Service Fees","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5328","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120228","33098.31","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5329","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120305","24.22","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5330","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120314","34698.56","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5321","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120323","31.80","","Payroll Service Fees","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5331","","","ORG","Automatic Data Processing","","","","","","PO Box 9001006","","Louisville","KY","40290","","","20120329","38843.46","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5077","","","IND","","Badasch","Megan","","","","PO Box 1809","","Tampa","FL","33601","","","20120330","2157.98","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5174","","","IND","","Barber","Holly","M.","","","PO Box 1809","","Tampa","FL","33601","","","20120113","2586.12","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5175","","","IND","","Barber","Holly","M.","","","PO Box 1809","","Tampa","FL","33601","","","20120131","2586.12","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5176","","","IND","","Barber","Holly","M.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","67.83","","Reimbursement-Travel Expenses, Office Supplies","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5177","","","IND","","Barber","Holly","M.","","","PO Box 1809","","Tampa","FL","33601","","","20120215","2982.87","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5178","","","IND","","Barber","Holly","M.","","","PO Box 1809","","Tampa","FL","33601","","","20120229","2982.87","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5179","","","IND","","Barber","Holly","M.","","","PO Box 1809","","Tampa","FL","33601","","","20120315","2982.87","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5180","","","IND","","Barber","Holly","M.","","","PO Box 1809","","Tampa","FL","33601","","","20120330","2982.87","","Payroll","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5332","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120105","1490.37","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5332.9","SB21A.5332","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120105","228.54","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5332.10","SB21A.5332","SB21A","ORG","US Airways","","","","","","4000 E Sky Harbor Blvd.","","Phoenix","AZ","85034","","","20120105","964.70","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5333","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120105","4879.15","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5333.0","SB21A.5333","SB21A","ORG","AirTran","","","","","","9955 Blvd","","Orlando","FL","32827","","","20120105","254.40","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5333.1","SB21A.5333","SB21A","ORG","Continental Airlines","","","","","","PO Box 4607","","Houston","TX","77210","","","20120105","942.80","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5333.2","SB21A.5333","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120105","943.20","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5333.3","SB21A.5333","SB21A","ORG","Malio's","","","","","","400 N Ashley Drive","#310","Tampa","FL","33602","","","20120105","523.54","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5333.6","SB21A.5333","SB21A","ORG","Southwest Airlines","","","","","","PO Box 36647","","Dallas","TX","75235","","","20120105","1690.00","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5334","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120113","3260.66","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5334.2","SB21A.5334","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120111","266.36","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5334.3","SB21A.5334","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120111","1818.60","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5334.4","SB21A.5334","SB21A","ORG","Oyster Catchers","","","","","","2900 Bayport Drive","","Tampa","FL","33607","","","20120111","943.49","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5335","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120206","530.67","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5335.9","SB21A.5335","SB21A","ORG","Tampa Club","","","","","","101 E Kennedy Blvd.","Ste. 4200","Tampa","FL","33602","","","20120206","92.46","","Meeting Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5336","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120206","1758.93","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5336.0","SB21A.5336","SB21A","ORG","American Airlines","","","","","","PO Box 619616","","DFW Airport","TX","75261","","","20120206","320.60","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5336.1","SB21A.5336","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120206","956.40","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5336.3","SB21A.5336","SB21A","ORG","Southwest Airlines","","","","","","PO Box 36647","","Dallas","TX","75235","","","20120206","394.60","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5337","","","ORG","BB&T Financial, FSB","","","","","","PO Box 580340","","Charlotte","NC","28258","","","20120206","2390.49","","Credit Card Payment-See Memo Entries","","","","","","","","","","","","","","","","","","","","",""
"SB21A","C00485110","SB21A.5337.0","SB21A.5337","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120206","1211.20","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5337.1","SB21A.5337","SB21A","ORG","Southwest Airlines","","","","","","PO Box 36647","","Dallas","TX","75235","","","20120206","244.80","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
"SB21A","C00485110","SB21A.5337.3","SB21A.5337","SB21A","ORG","Delta Airlines","","","","","","PO Box 20706","","Atlanta","GA","30320","","","20120206","407.00","","Travel Expenses","","","","","","","","","","","","","","","","","","","X","",""
